accuracy,val_accuracy,loss,val_loss
0.38927707076072693,0.6170780658721924,1.8875818252563477,0.9702067971229553
0.49636390805244446,0.6230820417404175,1.373407244682312,0.9887880086898804
0.5324397683143616,0.5496997833251953,1.1992466449737549,1.1348440647125244
0.5424212217330933,0.5410273671150208,1.1751527786254883,1.1530547142028809
0.5696563720703125,0.6150767207145691,1.0327295064926147,0.981814444065094
0.5956081748008728,0.644429624080658,0.9628256559371948,0.9114786386489868
0.6157136559486389,0.651100754737854,0.9044338464736938,0.8858250975608826
0.6091544032096863,0.6230820417404175,0.8913900852203369,0.9621064066886902
0.6218451261520386,0.651100754737854,0.8541277050971985,0.868180513381958
0.6289747357368469,0.6330887079238892,0.8414518237113953,0.9330569505691528
0.5056324005126953,0.524349570274353,1.4947268962860107,1.2446563243865967
0.5133323669433594,0.5410273671150208,1.4106167554855347,1.1563647985458374
0.5273064374923706,0.5550366640090942,1.3076525926589966,1.1366350650787354
0.5278767943382263,0.5530353784561157,1.2488148212432861,1.1328951120376587
0.5449878573417664,0.5583722591400146,1.1758798360824585,1.1339197158813477
